,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8279569892473119,0.9086021505376344,0.8225806451612904,0.956989247311828,0.956989247311828,0.8817204301075269
FOLD 2,0.7914438502673797,0.9090909090909091,0.8128342245989305,0.9358288770053476,0.9411764705882353,0.8609625668449198
FOLD 3,0.7914438502673797,0.8716577540106952,0.8181818181818182,0.93048128342246,0.9625668449197861,0.8983957219251337
FOLD 4,0.7754010695187166,0.9090909090909091,0.7754010695187166,0.93048128342246,0.93048128342246,0.8770053475935828
FOLD 5,0.7807486631016043,0.8983957219251337,0.8181818181818182,0.9358288770053476,0.9197860962566845,0.8716577540106952
FOLD 6,0.8288770053475936,0.893048128342246,0.8502673796791443,0.9090909090909091,0.9572192513368984,0.8877005347593583
FOLD 7,0.786096256684492,0.9251336898395722,0.8342245989304813,0.93048128342246,0.9411764705882353,0.8556149732620321
FOLD 8,0.8191489361702128,0.9361702127659575,0.8404255319148937,0.925531914893617,0.9574468085106383,0.8776595744680851
FOLD 9,0.7712765957446809,0.9308510638297872,0.8085106382978723,0.9414893617021277,0.9680851063829787,0.8670212765957447
FOLD 10,0.7712765957446809,0.8829787234042553,0.8031914893617021,0.9148936170212766,0.9414893617021277,0.8723404255319149
MEAN,0.7943669812094052,0.90650192628371,0.8183799213826667,0.9311096654297832,0.9476416941019872,0.8750078605098993
