,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9629629629629629,0.9703703703703703,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9777777777777777
FOLD 2,0.9481481481481482,0.9555555555555556,0.9629629629629629,0.9481481481481482,0.9703703703703703,0.9555555555555556,0.9777777777777777,0.9481481481481482,0.9407407407407408,0.9777777777777777
FOLD 3,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9925925925925926,0.9629629629629629,0.9777777777777777,0.9851851851851852,0.9629629629629629,0.9925925925925926
FOLD 4,0.9481481481481482,0.9555555555555556,0.9555555555555556,0.9703703703703703,0.9777777777777777,0.9481481481481482,0.9629629629629629,0.9555555555555556,0.9407407407407408,0.9777777777777777
FOLD 5,0.9555555555555556,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9851851851851852
FOLD 6,0.9629629629629629,0.9777777777777777,0.9629629629629629,0.9777777777777777,0.9555555555555556,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9333333333333333,0.9777777777777777
FOLD 7,0.9407407407407408,0.9555555555555556,0.9629629629629629,0.9703703703703703,0.9629629629629629,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9407407407407408,0.9777777777777777
FOLD 8,0.9629629629629629,0.9555555555555556,0.9703703703703703,0.9629629629629629,0.9703703703703703,0.9481481481481482,0.9703703703703703,0.9555555555555556,0.9555555555555556,0.9777777777777777
FOLD 9,0.9481481481481482,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9703703703703703,0.9555555555555556,0.9629629629629629,0.9555555555555556,0.9407407407407408,0.9777777777777777
FOLD 10,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.9555555555555556,0.9629629629629629,0.9481481481481482,0.9481481481481482,0.9851851851851852
MEAN,0.9562962962962963,0.9644444444444445,0.9674074074074074,0.9688888888888888,0.9725925925925925,0.9555555555555555,0.9644444444444445,0.9585185185185185,0.9474074074074075,0.9807407407407409
