,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8494623655913979,0.8978494623655914,0.8172043010752689,0.8978494623655914,0.9731182795698925,0.9247311827956989,0.8548387096774194,0.8763440860215054,0.9032258064516129,0.8924731182795699
FOLD 2,0.8021390374331551,0.9037433155080213,0.8449197860962567,0.8823529411764706,0.9037433155080213,0.9358288770053476,0.8342245989304813,0.8609625668449198,0.9090909090909091,0.9197860962566845
FOLD 3,0.8128342245989305,0.8663101604278075,0.8181818181818182,0.8823529411764706,0.9625668449197861,0.9625668449197861,0.8609625668449198,0.8716577540106952,0.8716577540106952,0.8502673796791443
FOLD 4,0.8128342245989305,0.9251336898395722,0.8502673796791443,0.8877005347593583,0.946524064171123,0.9090909090909091,0.8449197860962567,0.8288770053475936,0.8663101604278075,0.8877005347593583
FOLD 5,0.8181818181818182,0.9037433155080213,0.8074866310160428,0.9037433155080213,0.9786096256684492,0.93048128342246,0.8449197860962567,0.8342245989304813,0.8823529411764706,0.8983957219251337
FOLD 6,0.8235294117647058,0.8983957219251337,0.8181818181818182,0.8823529411764706,0.9732620320855615,0.9037433155080213,0.8556149732620321,0.8556149732620321,0.8502673796791443,0.8770053475935828
FOLD 7,0.8342245989304813,0.9090909090909091,0.8235294117647058,0.8823529411764706,0.9518716577540107,0.9679144385026738,0.839572192513369,0.8556149732620321,0.893048128342246,0.8877005347593583
FOLD 8,0.8297872340425532,0.9148936170212766,0.8191489361702128,0.8670212765957447,0.9627659574468085,0.9627659574468085,0.8297872340425532,0.851063829787234,0.8882978723404256,0.8882978723404256
FOLD 9,0.7872340425531915,0.9202127659574468,0.8031914893617021,0.8882978723404256,0.9787234042553191,0.9042553191489362,0.8351063829787234,0.8351063829787234,0.8723404255319149,0.8723404255319149
FOLD 10,0.8138297872340425,0.8776595744680851,0.8138297872340425,0.8829787234042553,0.9787234042553191,0.9361702127659575,0.8191489361702128,0.851063829787234,0.851063829787234,0.8723404255319149
MEAN,0.8184056744929207,0.9017032532111866,0.8215941358761011,0.8857002949679279,0.9609908585634293,0.9337548340606598,0.8419095166612223,0.8520530000232449,0.8787655206838461,0.8846307456657087
