,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.7634408602150538,0.9086021505376344,0.8924731182795699,0.8817204301075269,0.9516129032258064,0.978494623655914
FOLD 2,0.7967914438502673,0.9090909090909092,0.839572192513369,0.9037433155080212,0.9679144385026738,0.9732620320855615
FOLD 3,0.8021390374331551,0.8716577540106952,0.893048128342246,0.8609625668449198,0.9679144385026738,0.9946524064171123
FOLD 4,0.7860962566844921,0.9090909090909092,0.8770053475935828,0.8823529411764706,0.9786096256684492,0.9786096256684492
FOLD 5,0.7807486631016043,0.8983957219251337,0.8556149732620321,0.9037433155080212,0.9679144385026738,0.9946524064171123
FOLD 6,0.7860962566844921,0.893048128342246,0.839572192513369,0.8823529411764706,0.9732620320855616,0.9946524064171123
FOLD 7,0.8074866310160428,0.9251336898395722,0.8609625668449198,0.9144385026737968,0.9625668449197858,0.9946524064171123
FOLD 8,0.8138297872340425,0.9361702127659576,0.8829787234042553,0.9095744680851064,0.9734042553191492,0.9946808510638298
FOLD 9,0.7606382978723404,0.9308510638297872,0.8457446808510638,0.9042553191489362,0.9627659574468084,1.0
FOLD 10,0.8031914893617021,0.8829787234042553,0.8457446808510638,0.898936170212766,0.9627659574468084,0.9840425531914894
MEAN,0.7900458723453192,0.90650192628371,0.8632716604455473,0.8942079970442036,0.9668730891620392,0.9887699311333693
