,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9561855670103092,1.0,0.9484536082474226,0.961340206185567,1.0,0.9742268041237112,1.0,0.9432989690721648,0.961340206185567,0.8427835051546392
FOLD 2,0.9510309278350516,0.8376288659793815,0.9432989690721648,0.9587628865979382,1.0,0.9742268041237112,1.0,0.9381443298969072,0.9536082474226805,0.963917525773196
FOLD 3,0.961340206185567,0.7912371134020618,0.922680412371134,0.9664948453608248,1.0,0.9742268041237112,1.0,0.8788659793814433,0.9742268041237113,0.7268041237113402
FOLD 4,0.9484536082474226,0.7783505154639175,0.922680412371134,0.961340206185567,1.0,0.9690721649484536,1.0,0.9922680412371134,0.9587628865979382,0.8092783505154639
FOLD 5,0.9383033419023136,0.8406169665809768,0.93573264781491,0.9562982005141388,1.0,0.9691516709511568,1.0,0.9562982005141388,0.9665809768637532,0.8894601542416453
FOLD 6,0.961439588688946,0.8766066838046273,0.961439588688946,0.961439588688946,1.0,0.9717223650385604,1.0,0.9948586118251928,0.9922879177377892,1.0
FOLD 7,0.9588688946015425,0.9280205655526992,0.9434447300771208,0.961439588688946,1.0,0.9691516709511568,1.0,1.0,0.9768637532133676,1.0
FOLD 8,0.9562982005141388,0.8894601542416453,0.8946015424164524,0.9588688946015425,1.0,0.9640102827763496,1.0,0.9922879177377892,0.9537275064267352,0.9254498714652956
FOLD 9,0.9512820512820512,1.0,0.9333333333333332,0.9615384615384616,1.0,0.9666666666666668,1.0,1.0,0.9461538461538461,1.0
FOLD 10,0.9615384615384616,0.9974358974358974,0.9307692307692308,0.9692307692307692,1.0,0.9717948717948718,1.0,0.9692307692307692,0.9692307692307692,1.0
MEAN,0.9544740847805804,0.8939356762461207,0.933643447516185,0.9616753647592701,1.0,0.970425010549835,1.0,0.9665252818895519,0.9652782913956157,0.915769353086158
