,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.9629629629629629,0.9777777777777777
FOLD 2,0.9703703703703703,0.9777777777777777
FOLD 3,0.9777777777777777,0.9851851851851852
FOLD 4,0.9555555555555556,0.9851851851851852
FOLD 5,0.9703703703703703,0.9777777777777777
FOLD 6,0.9777777777777777,0.9777777777777777
FOLD 7,0.9777777777777777,0.9777777777777777
FOLD 8,0.9555555555555556,0.9851851851851852
FOLD 9,0.9629629629629629,0.9777777777777777
FOLD 10,0.9851851851851852,0.9777777777777777
MEAN,0.9696296296296298,0.9799999999999999
